gt_idx,pred_idx,match_reason,iou,intersection_over_gt,center_distance,gt_text,pred_text,gt_points,pred_points,gt_text_norm,pred_text_norm,gt_len_chars,pred_len_chars,lev_sim,cer_sim,word_sim,chrf,end2end_lev,end2end_chrf,gt_x1,gt_y1,gt_x2,gt_y2,pred_x1,pred_y1,pred_x2,pred_y2,file,gt_json_path,pred_json_path
2,0,center_fallback,0.021518230723251645,0.057971014492753624,89.9180182165955,YEAH,Shanks is a very good man.,"[[635, 18], [716, 18], [716, 64], [635, 64]]","[[704, 46], [752, 46], [752, 182], [704, 182]]",yeah,shanks is a very good man.,4,26,0.07692307692307687,0.07692307692307687,0.07692307692307687,0.13513513513513514,0.0016552485171732025,0.002907869016655628,635.0,18.0,716.0,64.0,704.0,46.0,752.0,182.0,pg_10.json,outputs\en\json\pg_10.json,outputs\jap\translation_best\pg_10.json
3,10,iou,0.5317608006840014,0.6217948717948718,38.00328933131973,HOW MUCH LONGER WILL YOU STAYAT THIS VILLAGE?,What else is there in this village?,"[[25, 21], [134, 21], [134, 177], [25, 177]]","[[20, 80], [138, 80], [138, 194], [20, 194]]",how much longer will you stayat this village?,what else is there in this village?,45,35,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.34951238070863894,0.23633813363733397,0.1858569834145974,25.0,21.0,134.0,177.0,20.0,80.0,138.0,194.0,pg_10.json,outputs\en\json\pg_10.json,outputs\jap\translation_best\pg_10.json
4,0,center_fallback,0.0,0.0,94.452368948587,SHANKS..,Shanks is a very good man.,"[[756, 39], [859, 39], [859, 87], [756, 87]]","[[704, 46], [752, 46], [752, 182], [704, 182]]",shanks..,shanks is a very good man.,8,26,0.2692307692307693,0.2692307692307693,0.2692307692307693,0.42497582268202583,0.0,0.0,756.0,39.0,859.0,87.0,704.0,46.0,752.0,182.0,pg_10.json,outputs\en\json\pg_10.json,outputs\jap\translation_best\pg_10.json
5,0,iou,0.14917188898836167,0.3563218390804598,56.78468103282786,KID?,Shanks is a very good man.,"[[648, 49], [735, 49], [735, 92], [648, 92]]","[[704, 46], [752, 46], [752, 182], [704, 182]]",kid?,shanks is a very good man.,4,26,0.11538461538461542,0.11538461538461542,0.11538461538461542,0.10135135135135133,0.01721214103711866,0.01511877253260422,648.0,49.0,735.0,92.0,704.0,46.0,752.0,182.0,pg_10.json,outputs\en\json\pg_10.json,outputs\jap\translation_best\pg_10.json
6,8,iou,0.48696074351505064,0.4994309290083938,24.438698819699873,AFTER TWO OR THREE MORE VOYA- GES...,And then we go back to the sea.,"[[159, 481], [258, 481], [258, 623], [159, 623]]","[[157, 479], [218, 479], [218, 600], [157, 600]]",after two or three more voya- ges...,and then we go back to the sea.,36,31,0.2777777777777778,0.2777777777777778,0.2777777777777778,0.10458311071808003,0.13526687319862518,0.05092786935439311,159.0,481.0,258.0,623.0,157.0,479.0,218.0,600.0,pg_10.json,outputs\en\json\pg_10.json,outputs\jap\translation_best\pg_10.json
7,11,iou,0.5945302608255254,0.626280409731114,12.093386622447824,..WELL LEAVE HERE FOR GOOD AND HEAD NORTH.,I want to go to the north without leaving this village.,"[[1, 486], [133, 486], [133, 628], [1, 628]]","[[20, 475], [111, 475], [111, 615], [20, 615]]",..well leave here for good and head north.,i want to go to the north without leaving this village.,42,55,0.2727272727272727,0.2727272727272727,0.2727272727272727,0.20260193496870518,0.16214461658877966,0.12045298124070043,1.0,486.0,133.0,628.0,20.0,475.0,111.0,615.0,pg_10.json,outputs\en\json\pg_10.json,outputs\jap\translation_best\pg_10.json
8,3,iou,0.14316963797440665,0.4043867778807538,74.5821694508815,HM... LET'S SEE...,"Well, I'm sure you'd like to take a cross trip through this village.","[[747, 518], [830, 518], [830, 596], [747, 596]]","[[651, 484], [781, 484], [781, 595], [651, 595]]",hm... let's see...,"well, i'm sure you'd like to take a cross trip through this village.",18,68,0.13235294117647056,0.13235294117647056,0.13235294117647056,0.09813714130403683,0.01894892267308323,0.014050258992342144,747.0,518.0,830.0,596.0,651.0,484.0,781.0,595.0,pg_10.json,outputs\en\json\pg_10.json,outputs\jap\translation_best\pg_10.json
9,8,center_fallback,0.0,0.0,142.51403439661652,CHOMO,And then we go back to the sea.,"[[220, 618], [335, 618], [335, 682], [220, 682]]","[[157, 479], [218, 479], [218, 600], [157, 600]]",chomo,and then we go back to the sea.,5,31,0.09677419354838712,0.09677419354838712,0.09677419354838712,0.0909090909090909,0.0,0.0,220.0,618.0,335.0,682.0,157.0,479.0,218.0,600.0,pg_10.json,outputs\en\json\pg_10.json,outputs\jap\translation_best\pg_10.json
10,2,iou,0.13233141407241145,0.16435035552682611,83.5134719671024,WEVE BEEN USING THIS VILLAGE ASOUR BASE FOR ABOUTA YEAR...,It has been used for more than a year.,"[[730, 636], [866, 636], [866, 818], [730, 818]]","[[677, 637], [766, 637], [766, 750], [677, 750]]",weve been using this village asour base for abouta year...,it has been used for more than a year.,58,38,0.3448275862068966,0.3448275862068966,0.3448275862068966,0.23902230268008928,0.045631522093934986,0.031630159308500154,730.0,636.0,866.0,818.0,677.0,637.0,766.0,750.0,pg_10.json,outputs\en\json\pg_10.json,outputs\jap\translation_best\pg_10.json
11,12,center_fallback,0.04484732824427481,0.1115506329113924,53.150729063673246,SEE...,"Oh, and the truth.","[[8, 777], [87, 777], [87, 809], [8, 809]]","[[20, 697], [67, 697], [67, 783], [20, 783]]",see...,"oh, and the truth.",6,18,0.11111111111111116,0.11111111111111116,0.11111111111111116,0.042735042735042736,0.004983036471586092,0.001916552489071573,8.0,777.0,87.0,809.0,20.0,697.0,67.0,783.0,pg_10.json,outputs\en\json\pg_10.json,outputs\jap\translation_best\pg_10.json
12,1,center_fallback,0.0061510860511309025,0.006838093881330579,86.97413408594535,"TWO OR THREE MORE TRIPS,EH?",More to come,"[[686, 920], [825, 920], [825, 1021], [686, 1021]]","[[693, 871], [725, 871], [725, 923], [693, 923]]","two or three more trips,eh?",more to come,27,12,0.2592592592592593,0.2592592592592593,0.2592592592592593,0.1563368778334098,0.0015947260132561601,0.000961641588518443,686.0,920.0,825.0,1021.0,693.0,871.0,725.0,923.0,pg_10.json,outputs\en\json\pg_10.json,outputs\jap\translation_best\pg_10.json
13,7,iou,0.1847733105218135,0.24269662921348314,75.73803535872844,I'MGONNA LEARN HOW TO SWIM BY THE TIME YOU LEAVE!,I’m going to practice swimming!,"[[219, 925], [397, 925], [397, 1055], [219, 1055]]","[[226, 863], [343, 863], [343, 973], [226, 973]]",i'mgonna learn how to swim by the time you leave!,i'm going to practice swimming!,49,31,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.17340535652281214,0.052792374434803856,0.032040681786935345,219.0,925.0,397.0,1055.0,226.0,863.0,343.0,973.0,pg_10.json,outputs\en\json\pg_10.json,outputs\jap\translation_best\pg_10.json
14,9,center_fallback,0.08063473405818396,0.16470588235294117,73.08385594644004,THAT'S GOOD KID...,"Well, that's a good idea.","[[33, 940], [131, 940], [131, 1025], [33, 1025]]","[[22, 865], [135, 865], [135, 954], [22, 954]]",that's good kid...,"well, that's a good idea.",18,25,0.56,0.56,0.56,0.37506986063176045,0.04515545107258302,0.030243658465282125,33.0,940.0,131.0,1025.0,22.0,865.0,135.0,954.0,pg_10.json,outputs\en\json\pg_10.json,outputs\jap\translation_best\pg_10.json
15,1,center_fallback,0.0,0.0,197.4949366439555,WWH,More to come,"[[718, 1061], [821, 1061], [821, 1109], [718, 1109]]","[[693, 871], [725, 871], [725, 923], [693, 923]]",wwh,more to come,3,12,0.0,0.0,0.0,0.0,0.0,0.0,718.0,1061.0,821.0,1109.0,693.0,871.0,725.0,923.0,pg_10.json,outputs\en\json\pg_10.json,outputs\jap\translation_best\pg_10.json
16,13,center_fallback,0.0,0.0,116.5,DO WHATEVER YOU WANT.,Try to wash your hands.,"[[0, 1279], [128, 1279], [128, 1350], [0, 1350]]","[[18, 1139], [110, 1139], [110, 1257], [18, 1257]]",do whatever you want.,try to wash your hands.,21,23,0.34782608695652173,0.34782608695652173,0.34782608695652173,0.2063227701620569,0.0,0.0,0.0,1279.0,128.0,1350.0,18.0,1139.0,110.0,1257.0,pg_10.json,outputs\en\json\pg_10.json,outputs\jap\translation_best\pg_10.json
17,1,center_fallback,0.0,0.0,524.8745088113919,16,More to come,"[[849, 1385], [882, 1385], [882, 1411], [849, 1411]]","[[693, 871], [725, 871], [725, 923], [693, 923]]",16,more to come,2,12,0.0,0.0,0.0,0.0,0.0,0.0,849.0,1385.0,882.0,1411.0,693.0,871.0,725.0,923.0,pg_10.json,outputs\en\json\pg_10.json,outputs\jap\translation_best\pg_10.json
0,2,center_fallback,0.0,0.0,577.1711184735425,SA,I will.,"[[538, 0], [892, 0], [892, 262], [538, 262]]","[[125, 9], [164, 9], [164, 78], [125, 78]]",sa,i will.,2,7,0.0,0.0,0.0,0.0,0.0,0.0,538.0,0.0,892.0,262.0,125.0,9.0,164.0,78.0,pg_11.json,outputs\en\json\pg_11.json,outputs\jap\translation_best\pg_11.json
1,2,iou,0.28564749883122953,0.3297355639503508,23.021728866442675,OFTHE,I will.,"[[109, 5], [218, 5], [218, 56], [109, 56]]","[[125, 9], [164, 9], [164, 78], [125, 78]]",ofthe,i will.,5,7,0.0,0.0,0.0,0.0,0.0,0.0,109.0,5.0,218.0,56.0,125.0,9.0,164.0,78.0,pg_11.json,outputs\en\json\pg_11.json,outputs\jap\translation_best\pg_11.json
2,2,iou,0.180778739184178,0.20006839945280439,20.180436070610565,MOUNTAINS!,I will.,"[[72, 33], [244, 33], [244, 84], [72, 84]]","[[125, 9], [164, 9], [164, 78], [125, 78]]",mountains!,i will.,10,7,0.09999999999999998,0.09999999999999998,0.09999999999999998,0.018115942028985508,0.018077873918417794,0.0032749771591336595,72.0,33.0,244.0,84.0,125.0,9.0,164.0,78.0,pg_11.json,outputs\en\json\pg_11.json,outputs\jap\translation_best\pg_11.json
3,0,center_fallback,0.05682253403433028,0.07621538317844301,113.2486203006465,"HEH HEH... SO YOU CALL YOUR- SELVES PIRATES, EH?",Wow. this is pirate stuff.,"[[754, 737], [887, 737], [887, 898], [754, 898]]","[[718, 656], [778, 656], [778, 805], [718, 805]]","heh heh... so you call your- selves pirates, eh?",wow. this is pirate stuff.,48,26,0.22916666666666663,0.22916666666666663,0.22916666666666663,0.18761087351919672,0.013021830716200687,0.01066052524575499,754.0,737.0,887.0,898.0,718.0,656.0,778.0,805.0,pg_11.json,outputs\en\json\pg_11.json,outputs\jap\translation_best\pg_11.json
4,1,center_fallback,0.0,0.0,146.73530590829188,FIRST TIME IVE SEEN PIRATES... YOULOOK LIKE A SORRYLOT TO ME.,He's trying to make a fool of himself.,"[[544, 742], [672, 742], [672, 902], [544, 902]]","[[478, 662], [528, 662], [528, 777], [478, 777]]",first time ive seen pirates... youlook like a sorrylot to me.,he's trying to make a fool of himself.,61,38,0.2786885245901639,0.2786885245901639,0.2786885245901639,0.13229268770095892,0.0,0.0,544.0,742.0,672.0,902.0,478.0,662.0,528.0,777.0,pg_11.json,outputs\en\json\pg_11.json,outputs\jap\translation_best\pg_11.json
5,1,center_fallback,0.0,0.0,270.95064126146667,TMD,He's trying to make a fool of himself.,"[[475, 944], [587, 944], [587, 1034], [475, 1034]]","[[478, 662], [528, 662], [528, 777], [478, 777]]",tmd,he's trying to make a fool of himself.,3,38,0.052631578947368474,0.052631578947368474,0.052631578947368474,0.07751937984496124,0.0,0.0,475.0,944.0,587.0,1034.0,478.0,662.0,528.0,777.0,pg_11.json,outputs\en\json\pg_11.json,outputs\jap\translation_best\pg_11.json
6,1,center_fallback,0.0,0.0,500.09299135260835,KLOMO,He's trying to make a fool of himself.,"[[3, 949], [177, 949], [177, 1054], [3, 1054]]","[[478, 662], [528, 662], [528, 777], [478, 777]]",klomo,he's trying to make a fool of himself.,5,38,0.10526315789473684,0.10526315789473684,0.10526315789473684,0.1417744092732947,0.0,0.0,3.0,949.0,177.0,1054.0,478.0,662.0,528.0,777.0,pg_11.json,outputs\en\json\pg_11.json,outputs\jap\translation_best\pg_11.json
0,7,iou,0.44234869608003935,0.5299145299145299,65.32419153728578,"OH, DON'T WET YOURSELVES. WE'RE NOT HERE TO BUST UP THE PLACE. JUST SELLUS I0 BARRELS OF GROG,AND WE'LL INJURE ONLY THE BARE WnWINIW","The station is located at the station of the station, and is very convenient.","[[0, 114], [174, 114], [174, 348], [0, 348]]","[[6, 49], [130, 49], [130, 288], [6, 288]]","oh, don't wet yourselves. we're not here to bust up the place. just sellus i0 barrels of grog,and we'll injure only the bare wnwiniw","the station is located at the station of the station, and is very convenient.",132,77,0.25757575757575757,0.25757575757575757,0.25757575757575757,0.13389193917725833,0.11393830050546468,0.05922692471068816,0.0,114.0,174.0,348.0,6.0,49.0,130.0,288.0,pg_12.json,outputs\en\json\pg_12.json,outputs\jap\translation_best\pg_12.json
1,0,center_fallback,0.09304472238888632,0.17729311406208775,97.08887680882914,WE'RE MOUNTAIN BANDITS.,We are the pirates.,"[[737, 132], [874, 132], [874, 215], [737, 215]]","[[719, 12], [800, 12], [800, 164], [719, 164]]",we're mountain bandits.,we are the pirates.,23,19,0.34782608695652173,0.34782608695652173,0.34782608695652173,0.11798313603908304,0.0323633817004822,0.010977708139326692,737.0,132.0,874.0,215.0,719.0,12.0,800.0,164.0,pg_12.json,outputs\en\json\pg_12.json,outputs\jap\translation_best\pg_12.json
2,9,iou,0.24958520976534723,0.33674448353054043,61.0,WE JUST RAN OUTOF LIQUOR.,I'm going to cut the pieces.,"[[0, 502], [106, 502], [106, 620], [0, 620]]","[[3, 446], [81, 446], [81, 556], [3, 556]]",we just ran outof liquor.,i'm going to cut the pieces.,25,28,0.25,0.25,0.25,0.09422153213473568,0.06239630244133681,0.02351630086226041,0.0,502.0,106.0,620.0,3.0,446.0,81.0,556.0,pg_12.json,outputs\en\json\pg_12.json,outputs\jap\translation_best\pg_12.json
3,3,iou,0.17277856135401976,0.5051546391752577,59.73692325521963,"W,I SORRY...","Sorry, but I'm not drinking.","[[332, 534], [429, 534], [429, 584], [332, 584]]","[[305, 435], [381, 435], [381, 590], [305, 590]]","w,i sorry...","sorry, but i'm not drinking.",12,28,0.2142857142857143,0.2142857142857143,0.2142857142857143,0.24325265888932537,0.037023977433004236,0.04202884444843774,332.0,534.0,429.0,584.0,305.0,435.0,381.0,590.0,pg_12.json,outputs\en\json\pg_12.json,outputs\jap\translation_best\pg_12.json
4,14,iou,0.22234653314629682,0.22819415907117832,55.85807909335945,HIGUMA THE BEAR LEADER OF THE MOUNTAIN BANDITS,The brown bear.,"[[686, 580], [874, 580], [874, 696], [686, 696]]","[[782, 594], [779, 647], [674, 642], [676, 590]]",higuma the bear leader of the mountain bandits,the brown bear.,46,15,0.21739130434782605,0.21739130434782605,0.21739130434782605,0.12670592726617183,0.04833620285789061,0.028172623656720148,686.0,580.0,874.0,696.0,674.0,590.0,782.0,647.0,pg_12.json,outputs\en\json\pg_12.json,outputs\jap\translation_best\pg_12.json
5,1,center_fallback,0.0,0.0,57.4543296888929,HMWM...,the heart.,"[[340, 791], [423, 791], [423, 812], [340, 812]]","[[402, 844], [421, 844], [421, 857], [402, 857]]",hmwm...,the heart.,7,10,0.19999999999999996,0.19999999999999996,0.19999999999999996,0.04504504504504505,0.0,0.0,340.0,791.0,423.0,812.0,402.0,844.0,421.0,857.0,pg_12.json,outputs\en\json\pg_12.json,outputs\jap\translation_best\pg_12.json
6,6,iou,0.10672815613933953,0.13724451975007942,100.82286447031744,THAT'S STRANGE. WHAT'RE ALL THESE PIRATES ORINKING?,It seems that the pirates are drinking something together.,"[[0, 835], [133, 835], [133, 977], [0, 977]]","[[12, 735], [66, 735], [66, 883], [12, 883]]",that's strange. what're all these pirates orinking?,it seems that the pirates are drinking something together.,51,58,0.2068965517241379,0.2068965517241379,0.2068965517241379,0.36284069304911915,0.022081687477104726,0.03872531814145255,0.0,835.0,133.0,977.0,12.0,735.0,66.0,883.0,pg_12.json,outputs\en\json\pg_12.json,outputs\jap\translation_best\pg_12.json
7,16,center_fallback,0.0,0.0,83.7152913152669,IT'S TRUE...,"The first is the ""S""","[[167, 1113], [254, 1113], [254, 1167], [167, 1167]]","[[139, 1028], [214, 1028], [214, 1099], [139, 1099]]",it's true...,"the first is the ""s""",12,20,0.25,0.25,0.25,0.09848722780569515,0.0,0.0,167.0,1113.0,254.0,1167.0,139.0,1028.0,214.0,1099.0,pg_12.json,outputs\en\json\pg_12.json,outputs\jap\translation_best\pg_12.json
8,17,center_fallback,0.0,0.0,91.65424158215484,FRUIT JUICE?,"Oh, my God.","[[333, 1127], [423, 1127], [423, 1184], [333, 1184]]","[[301, 1203], [384, 1203], [384, 1277], [301, 1277]]",fruit juice?,"oh, my god.",12,11,0.0,0.0,0.0,0.0,0.0,0.0,333.0,1127.0,423.0,1184.0,301.0,1203.0,384.0,1277.0,pg_12.json,outputs\en\json\pg_12.json,outputs\jap\translation_best\pg_12.json
9,8,iou,0.15223469885934934,0.26221236908493234,107.11909260257949,JUST SERVED THE LAST OFIT.,It's all about the wine coming out now.,"[[0, 1173], [103, 1173], [103, 1300], [0, 1300]]","[[5, 1038], [75, 1038], [75, 1222], [5, 1222]]",just served the last ofit.,it's all about the wine coming out now.,26,39,0.28205128205128205,0.28205128205128205,0.28205128205128205,0.13378549209725205,0.04293799198597033,0.020366794101175027,0.0,1173.0,103.0,1300.0,5.0,1038.0,75.0,1222.0,pg_12.json,outputs\en\json\pg_12.json,outputs\jap\translation_best\pg_12.json
0,6,center_fallback,0.0,0.0,113.63208173750932,READ THIS WAY,I haven't even opened the plug yet.,"[[51, 0], [105, 0], [105, 58], [51, 58]]","[[31, 84], [93, 84], [93, 199], [31, 199]]",read this way,i haven't even opened the plug yet.,13,35,0.17142857142857137,0.17142857142857137,0.17142857142857137,0.11769982509949237,0.0,0.0,51.0,0.0,105.0,58.0,31.0,84.0,93.0,199.0,pg_13.json,outputs\en\json\pg_13.json,outputs\jap\translation_best\pg_13.json
1,1,center_fallback,0.0,0.0,121.5370313937279,FEEL KINDA GUILTY...,This is a bad thing you did.,"[[791, 70], [899, 70], [899, 154], [791, 154]]","[[680, 88], [773, 88], [773, 190], [680, 190]]",feel kinda guilty...,this is a bad thing you did.,20,28,0.2142857142857143,0.2142857142857143,0.2142857142857143,0.09801595006436119,0.0,0.0,791.0,70.0,899.0,154.0,680.0,88.0,773.0,190.0,pg_13.json,outputs\en\json\pg_13.json,outputs\jap\translation_best\pg_13.json
2,5,iou,0.4099149507609669,0.4981640146878825,42.08622102303793,WHY DONT YOUHAVE THIS?,I'll do well with this.,"[[159, 87], [288, 87], [288, 201], [159, 201]]","[[139, 90], [225, 90], [225, 212], [139, 212]]",why dont youhave this?,i'll do well with this.,22,23,0.34782608695652173,0.34782608695652173,0.34782608695652173,0.15478084508657264,0.1425791133081624,0.06344698249240327,159.0,87.0,288.0,201.0,139.0,90.0,225.0,212.0,pg_13.json,outputs\en\json\pg_13.json,outputs\jap\translation_best\pg_13.json
3,6,iou,0.31449126413155193,0.3671816409179541,42.95346318982906,IT'S STILL UN- OPENED.,I haven't even opened the plug yet.,"[[42, 103], [160, 103], [160, 216], [42, 216]]","[[31, 84], [93, 84], [93, 199], [31, 199]]",it's still un- opened.,i haven't even opened the plug yet.,22,35,0.2571428571428571,0.2571428571428571,0.2571428571428571,0.2540579560324766,0.0808691822052562,0.0798990077553318,42.0,103.0,160.0,216.0,31.0,84.0,93.0,199.0,pg_13.json,outputs\en\json\pg_13.json,outputs\jap\translation_best\pg_13.json
4,0,iou,0.1479394152870729,0.15469613259668508,79.5,GUESSWE DRANK UP ALL THE LIQUOR.,We are the ones who are responsible for the situation.,"[[737, 251], [918, 251], [918, 341], [737, 341]]","[[731, 248], [765, 248], [765, 344], [731, 344]]",guesswe drank up all the liquor.,we are the ones who are responsible for the situation.,32,54,0.2962962962962963,0.2962962962962963,0.2962962962962963,0.14309925841758045,0.04383390082579938,0.0211700206183106,737.0,251.0,918.0,341.0,731.0,248.0,765.0,344.0,pg_13.json,outputs\en\json\pg_13.json,outputs\jap\translation_best\pg_13.json
5,3,center_fallback,0.0,0.0,81.38949563672206,SORRY ABOUT THAT.,"Sorry, I was wrong.","[[468, 316], [557, 316], [557, 398], [468, 398]]","[[406, 296], [458, 296], [458, 394], [406, 394]]",sorry about that.,"sorry, i was wrong.",17,19,0.42105263157894735,0.42105263157894735,0.42105263157894735,0.21475150954346248,0.0,0.0,468.0,316.0,557.0,398.0,406.0,296.0,458.0,394.0,pg_13.json,outputs\en\json\pg_13.json,outputs\jap\translation_best\pg_13.json
6,7,center_fallback,0.0,0.0,387.28929755416686,TINKT!,it's just a matter of time.,"[[279, 928], [574, 928], [574, 1093], [279, 1093]]","[[43, 805], [116, 805], [116, 872], [43, 872]]",tinkt!,it's just a matter of time.,6,27,0.07407407407407407,0.07407407407407407,0.07407407407407407,0.0747412320369812,0.0,0.0,279.0,928.0,574.0,1093.0,43.0,805.0,116.0,872.0,pg_13.json,outputs\en\json\pg_13.json,outputs\jap\translation_best\pg_13.json
0,6,iou,0.444454402868026,0.5708529987337401,45.40099117860754,WHAT GOODIS ONE BOTTLE OF GROG?,The bedtime was drunk and I was drunk.,"[[398, 55], [544, 55], [544, 174], [398, 174]]","[[368, 60], [485, 60], [485, 187], [368, 187]]",what goodis one bottle of grog?,the bedtime was drunk and i was drunk.,31,38,0.21052631578947367,0.21052631578947367,0.21052631578947367,0.09306750731305558,0.093569347972216,0.04136426338923976,398.0,55.0,544.0,174.0,368.0,60.0,485.0,187.0,pg_14.json,outputs\en\json\pg_14.json,outputs\jap\translation_best\pg_14.json
